transaction_id,account_id,transaction_type,amount,source,status,reason_code,created_at
1,4,Transfer,650.00,Online,Success,"Amount Transfer Successful","2023-04-13 21:29:45"
2,4,Deposit,450.00,Online,Success,"Amount Deposit Successful","2023-04-13 21:29:45"
3,5,Withdraw,250.00,Online,Success,"Amount Withdraw Successful","2023-04-13 21:29:45"
4,5,Payment,1000.00,Online,Success,"Amount Process Successful","2023-04-13 21:29:45"
5,4,Withdraw,8000.00,Online,Failure,"Insufficient Funds","2023-04-13 21:29:45"
6,5,Transfer,9000.00,Online,Failure,"Insufficient Funds","2023-04-13 21:29:45"
7,4,Payment,7000.00,Online,Failure,"Insufficient Funds","2023-04-13 21:36:28"
8,4,Transfer,100.00,Online,Success,"Amount Transfer Successful","2023-04-14 01:17:52"
9,4,Deposit,277.00,Online,Success,"Amount Deposit Successful","2023-04-14 02:07:59"
10,5,Withdraw,100000.00,Online,Failure,"Insufficient Funds","2023-04-14 02:32:58"
11,4,Transfer,200.00,Online,Success,"Amount Transfer Successful","2023-04-16 20:26:50"
12,8,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-17 19:51:18"
13,8,Payment,1000.00,Online,Success,"Amount Process Successful","2023-04-17 19:51:18"
14,9,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-18 00:29:23"
15,9,Payment,200.00,Online,Success,"Amount Process Successful","2023-04-18 00:29:23"
16,5,Payment,350.00,Online,Success,"Amount Process Successful","2023-04-18 01:44:50"
17,5,Payment,200.00,Online,Success,"Amount Process Successful","2023-04-18 02:01:45"
18,8,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-18 16:15:14"
19,8,Payment,350.00,Online,Success,"Amount Process Successful","2023-04-18 17:22:04"
20,4,Reception,350.00,Online,Success,"Amount Received Successfully","2023-04-18 17:22:04"
21,8,Payment,10.00,Online,Success,"Amount Process Successful","2023-04-18 17:22:04"
22,8,Payment,350.00,Online,Success,"Amount Process Successful","2023-04-18 17:52:39"
23,8,Payment,250.00,Online,Success,"Amount Process Successful","2023-04-18 17:54:41"
24,8,Payment,250.00,Online,Failure,"Non-existent Beneficiary Acc. No. ","2023-04-18 17:54:41"
25,8,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-18 17:54:41"
26,8,Payment,500.00,Online,Success,"Amount Process Successful","2023-04-18 17:54:41"
27,8,Payment,200.00,Online,Success,"Amount Process Successful","2023-04-18 17:54:41"
28,8,Payment,200.00,Online,Failure,"Non-existent Beneficiary Acc. No. ","2023-04-18 17:54:41"
29,8,Payment,100.00,Online,Success,"Amount Process Successful","2023-04-18 17:54:41"
30,8,Payment,100.00,Online,Failure,"Non-existent Beneficiary Acc. No. ","2023-04-18 17:54:41"
31,8,Payment,200.00,Online,Success,"Amount Process Successful","2023-04-18 17:54:41"
32,8,Payment,200.00,Online,Failure,"Internal Payment","2023-04-18 17:54:41"
33,8,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-18 18:07:08"
34,11,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-18 18:07:08"
35,8,Payment,150.00,Online,Failure,"Non-existent Beneficiary Acc. No. ","2023-04-18 18:07:08"
36,4,Reception,200.00,Online,Success,"Amount Received Successfully","2023-04-18 18:07:08"
37,8,Payment,340.00,Online,Success,"Amount Process Successful","2023-04-18 18:26:33"
38,8,Payment,200.00,Online,Failure,"Non-existent Beneficiary Acc. No. ","2023-04-18 18:26:33"
39,8,Payment,200.00,Online,Failure,"Internal Payment","2023-04-18 18:26:33"
40,11,Payment,200.00,Online,Success,"Amount Process Successful","2023-04-18 18:26:33"
41,4,Reception,200.00,Online,Success,"Amount Received Successfully","2023-04-18 18:26:33"
42,11,Deposit,200.00,Online,Success,"Amount Deposit Successful","2023-04-18 18:37:18"
43,12,Deposit,1000.00,Online,Success,"Amount Deposit Successful","2023-04-19 23:41:00"
44,7,Deposit,55000.00,Online,Success,"Amount Deposit Successful","2023-05-04 23:14:26"
45,7,Withdraw,40000.00,Online,Success,"Amount Withdraw Successful","2023-05-04 23:21:18"
46,7,Deposit,50000.00,Online,Success,"Amount Deposit Successful","2023-05-04 23:32:45"
